,DebtToIncomeRatio,count
744,2.11,1
745,1.66,1
746,0.1336,1
747,0.09835,1
748,0.17998,1
749,0.42965,1
750,8.06,1
751,0.21320999999999998,1
752,1.86,1
753,0.09144,1
754,0.09704,1
755,0.1815,1
756,0.04697,1
757,0.24301,1
758,6.37,1
759,0.22386999999999999,1
760,2.53,1
761,0.14067000000000002,1
762,0.24418,1
763,0.4413,1
764,0.16665,1
765,0.04387,1
766,5.69,1
767,0.01042,1
768,0.17757,1
769,0.38587,1
770,0.16971,1
771,0.08177000000000001,1
772,0.04517,1
773,0.18339,1
774,0.02779,1
775,0.04135,1
776,0.13408,1
777,4.04,1
778,0.059860000000000003,1
779,0.197,1
780,0.19946,1
781,5.21,1
782,7.47,1
783,6.01,1
784,0.15730999999999998,1
785,4.13,1
786,7.79,1
787,4.75,1
788,0.20956,1
789,0.19512000000000002,1
790,0.09433,1
791,0.07707,1
792,0.25731,1
793,0.15420999999999999,1
794,0.0713,1
795,0.0744,1
796,0.06097,1
797,0.03147,1
798,0.14694000000000002,1
799,0.06505,1
800,0.1101,1
801,0.01138,1
802,0.1679,1
803,0.073,1
804,0.10998,1
805,1.78,1
806,0.031180000000000003,1
807,6.06,1
808,0.04501,1
809,0.02452,1
810,0.07429,1
811,5.38,1
812,6.96,1
813,3.32,1
814,0.17701,1
815,4.54,1
816,0.19944,1
817,0.08995,1
818,0.06885,1
819,0.04495,1
820,0.39846,1
821,0.15894,1
822,2.14,1
823,0.3047,1
824,0.05439,1
825,0.05148,1
826,0.15067,1
827,0.14328,1
828,0.10399000000000001,1
829,0.06752999999999999,1
830,0.0151,1
831,0.16818,1
832,0.15773,1
833,0.17694000000000001,1
834,0.12833,1
835,0.01888,1
836,0.1363,1
837,0.13651,1
838,0.04276,1
839,0.1442,1
840,0.20479,1
841,0.07217,1
842,0.20649,1
843,0.06965,1
844,0.20006,1
845,0.12085,1
846,0.18499000000000002,1
847,0.16532,1
848,0.19267,1
849,0.04092,1
850,0.07736,1
851,0.25251,1
852,0.35333000000000003,1
853,7.06,1
854,0.12957,1
855,0.054979999999999994,1
856,0.024919999999999998,1
857,0.18880999999999998,1
858,5.06,1
859,0.30271,1
860,0.027760000000000003,1
861,0.06713999999999999,1
862,0.29069,1
863,0.0403,1
864,0.04241,1
865,0.16915999999999998,1
866,0.13777,1
867,0.085,1
868,0.13325,1
869,0.1723,1
870,0.14586,1
871,0.17513,1
872,0.055979999999999995,1
873,0.19422999999999999,1
874,0.16319,1
875,0.11482,1
876,0.00722,1
877,4.78,1
878,2.49,1
879,0.1361,1
880,0.09992999999999999,1
881,0.02217,1
882,0.10427,1
883,0.039060000000000004,1
884,2.35,1
885,0.1848,1
886,0.24631,1
887,0.09256,1
888,0.13022,1
889,0.27486,1
890,0.03263,1
891,0.15891,1
892,0.16435,1
893,0.11067,1
894,0.17185,1
895,0.0648,1
896,0.01289,1
897,0.16749,1
898,0.03689,1
899,8.27,1
900,0.04512,1
901,0.03698,1
902,0.09451,1
903,0.13219,1
904,0.17739000000000002,1
905,0.046110000000000005,1
906,0.0991,1
907,0.22653,1
908,3.38,1
909,0.14048,1
910,0.08996,1
911,0.11392000000000001,1
912,0.32388,1
913,0.09787,1
914,0.13423,1
915,0.23284000000000002,1
916,0.29769,1
917,0.10970999999999999,1
918,0.03112,1
919,0.12624000000000002,1
920,0.3543,1
921,4.68,1
922,0.14225,1
923,3.58,1
924,0.05802,1
925,0.0952,1
926,0.16995,1
927,2.94,1
928,0.0376,1
929,0.09854,1
930,0.12448,1
931,0.03946,1
932,0.015390000000000001,1
933,0.01087,1
934,0.14476,1
935,0.07044,1
936,0.06375,1
937,0.0398,1
938,0.00044,1
939,0.15705,1
940,0.12165,1
941,0.17442,1
942,0.17122,1
943,0.13594,1
944,0.40475,1
945,2.97,1
946,0.06704,1
947,0.1996,1
948,0.37772,1
949,0.09096,1
950,0.04079,1
951,0.08173,1
952,2.31,1
953,0.02393,1
954,3.09,1
955,0.10522999999999999,1
956,0.19409,1
957,0.20254,1
958,0.10021000000000001,1
959,0.17684,1
960,5.15,1
961,0.01609,1
962,0.10128,1
963,5.02,1
964,0.13799,1
965,0.0337,1
966,0.13138,1
967,3.11,1
968,0.11709000000000001,1
969,0.38361,1
970,0.30701999999999996,1
971,0.17154,1
972,0.07821,1
973,0.2662,1
974,1.62,1
975,0.02168,1
976,0.13382,1
977,0.13806,1
978,0.22246999999999997,1
979,0.16832,1
980,0.15199000000000001,1
981,0.08166,1
982,0.25893,1
983,6.85,1
984,0.04671,1
985,0.40571999999999997,1
986,0.030780000000000002,1
987,0.22094,1
988,1.73,1
989,0.08863,1
990,0.19744,1
991,0.13462000000000002,1
992,0.20844000000000001,1
993,0.09387000000000001,1
994,0.1872,1
995,0.047439999999999996,1
996,1.92,1
997,0.22825,1
998,1.43,1
999,0.09593,1
1000,0.09973,1
1001,0.01091,1
1002,0.01523,1
1003,8.52,1
1004,4.66,1
1005,0.1833,1
1006,0.11445,1
1007,0.07466,1
1008,0.02298,1
1009,0.04779,1
1010,0.0215,1
1011,0.06946000000000001,1
1012,0.14418,1
1013,0.14918,1
1014,2.05,1
1015,0.02141,1
1016,0.04598,1
1017,0.15641,1
1018,2.48,1
1019,0.09887,1
1020,0.0204,1
1021,0.13172999999999999,1
1022,0.19030999999999998,1
1023,0.12958,1
1024,0.13079000000000002,1
1025,0.19413,1
1026,0.17306,1
1027,0.2047,1
1028,0.06281,1
1029,0.10028,1
1030,0.19648,1
1031,0.08835,1
1032,0.10955999999999999,1
1033,4.85,1
1034,0.23184000000000002,1
1035,0.15253,1
1036,0.01404,1
1037,3.39,1
1038,0.1237,1
1039,0.030739999999999996,1
1040,0.0031,1
1041,4.58,1
1042,0.17742,1
1043,4.0,1
1044,2.25,1
1045,0.18621,1
1046,0.23301999999999998,1
1047,0.00647,1
1048,0.32006999999999997,1
1049,0.11832999999999999,1
1050,0.19662000000000002,1
1051,0.09307,1
1052,0.31767,1
1053,0.0188,1
1054,0.11135,1
1055,0.07149,1
1056,0.17762999999999998,1
